Year,State,Pdsi1_May,Pdsi1_Jun,Pdsi1_Jul,Pdsi1_Aug,Pdsi1_Sep,Pdsi1_Oct
1895,ILLINOIS,-2.21,-2.70,-1.75,-2.01,-2.12,-2.61
1896,ILLINOIS,0.25,0.24,1.30,1.11,2.08,1.75
1897,ILLINOIS,-0.63,-0.34,-0.39,-1.27,-2.41,-3.51
1898,ILLINOIS,2.75,2.60,2.16,2.30,2.59,3.04
1899,ILLINOIS,-0.19,-0.80,-0.80,-1.18,-1.58,-1.54
1900,ILLINOIS,-2.09,-1.68,-1.11,-0.79,-0.68,-0.89
1901,ILLINOIS,-1.99,-2.23,-3.00,-3.72,-4.15,-4.36
1902,ILLINOIS,-4.90,1.82,2.32,2.99,3.45,3.21
1903,ILLINOIS,2.01,1.62,1.48,1.86,1.94,1.71
1904,ILLINOIS,1.84,1.43,1.81,2.18,2.79,-0.50
1905,ILLINOIS,0.16,-0.25,0.70,0.79,0.71,1.34
1906,ILLINOIS,-1.26,-1.44,-1.79,0.03,0.44,-0.40
1907,ILLINOIS,1.08,1.30,2.19,3.17,2.95,2.63
1908,ILLINOIS,4.00,-0.36,-0.42,-0.85,-1.79,-2.64
1909,ILLINOIS,1.55,1.44,1.91,1.16,1.31,1.32
1910,ILLINOIS,-1.13,-1.60,-1.30,-1.44,-0.84,-0.61
1911,ILLINOIS,-1.63,-2.33,-2.91,0.06,2.00,2.10
1912,ILLINOIS,1.76,1.41,1.58,1.69,-0.19,0.24
1913,ILLINOIS,-0.66,-1.26,-2.00,-2.72,-2.79,-2.28
1914,ILLINOIS,-3.21,-3.68,-4.55,-4.51,-4.02,-3.78
1915,ILLINOIS,1.02,1.40,2.73,4.11,4.38,3.50
1916,ILLINOIS,-0.98,-0.08,-1.25,-1.06,-1.12,-1.04
1917,ILLINOIS,0.82,1.46,-0.16,-0.30,-0.43,-0.02
1918,ILLINOIS,0.98,0.71,0.32,0.19,0.65,0.72
1919,ILLINOIS,0.57,0.64,-0.77,-1.04,-1.05,1.39
1920,ILLINOIS,1.57,-0.73,-1.13,-1.28,-1.60,-2.06
1921,ILLINOIS,-2.78,-2.86,-3.63,0.52,1.44,1.19
1922,ILLINOIS,-0.35,-1.40,-1.39,-2.16,-2.80,-3.05
1923,ILLINOIS,-2.12,-2.14,-2.54,0.46,0.70,1.17
1924,ILLINOIS,0.10,1.32,1.31,2.08,2.19,-0.61
1925,ILLINOIS,-2.39,-2.07,-2.14,-2.38,0.23,0.93
1926,ILLINOIS,-0.75,0.15,0.09,0.49,2.96,3.47
1927,ILLINOIS,4.80,4.44,4.05,3.88,4.15,4.21
1928,ILLINOIS,1.75,2.95,2.78,2.60,2.17,2.43
1929,ILLINOIS,3.16,3.30,3.47,2.99,2.60,2.75
1930,ILLINOIS,-1.83,-1.94,-3.10,-3.84,-3.69,-3.72
1931,ILLINOIS,-5.46,-5.37,-5.37,-4.72,-4.00,-3.48
1932,ILLINOIS,-2.58,-2.49,-2.51,0.82,0.65,1.04
1933,ILLINOIS,2.62,-1.31,-2.03,-2.40,-2.49,-2.36
1934,ILLINOIS,-6.53,-6.85,-7.05,-6.52,1.16,0.55
1935,ILLINOIS,2.42,3.04,-0.11,-0.53,-0.52,-0.81
1936,ILLINOIS,-2.12,-2.94,-4.39,-5.05,0.85,0.85
1937,ILLINOIS,0.90,1.27,-0.11,-0.61,-0.94,-0.52
1938,ILLINOIS,1.22,1.64,1.96,0.04,-0.03,-0.72
1939,ILLINOIS,-0.76,0.32,0.23,0.82,-1.19,-1.50
1940,ILLINOIS,-2.91,-3.03,-3.63,-3.13,-3.97,-4.16
1941,ILLINOIS,-4.03,-3.56,-3.57,-3.70,0.49,2.79
1942,ILLINOIS,1.32,1.79,2.13,2.18,2.12,1.72
1943,ILLINOIS,3.05,-0.17,-0.50,-0.84,-1.07,-1.31
1944,ILLINOIS,-0.16,-0.93,-1.69,-1.66,-1.80,-2.42
1945,ILLINOIS,1.98,3.02,2.00,1.79,3.29,2.91
1946,ILLINOIS,1.51,1.53,0.93,1.88,1.35,1.22
1947,ILLINOIS,1.82,2.69,-0.47,-1.25,-1.18,-1.38
1948,ILLINOIS,-0.79,0.02,0.92,-0.53,-0.72,-0.89
1949,ILLINOIS,-1.23,-0.03,0.13,-0.25,0.01,0.70
1950,ILLINOIS,2.50,2.86,2.86,2.84,2.79,1.86
1951,ILLINOIS,1.63,2.36,2.76,2.88,2.93,2.99
1952,ILLINOIS,-0.19,-0.12,-0.28,-0.38,-0.92,-1.56
1953,ILLINOIS,-1.38,-1.77,-1.78,-2.75,-3.41,-3.95
1954,ILLINOIS,-5.39,-5.13,-5.17,-4.12,-4.44,-3.22
1955,ILLINOIS,-1.90,-1.58,-1.67,-2.05,-2.21,-1.43
1956,ILLINOIS,-2.00,-2.44,-1.82,-1.34,-2.02,-2.93
1957,ILLINOIS,1.91,2.65,2.57,2.14,1.34,1.51
1958,ILLINOIS,-1.58,1.07,2.96,2.80,0.00,-0.40
1959,ILLINOIS,-0.29,-1.30,-1.43,0.08,0.21,0.73
1960,ILLINOIS,0.35,1.06,-0.10,-0.24,-0.92,-1.00
1961,ILLINOIS,1.07,0.79,1.64,1.54,2.94,2.93
1962,ILLINOIS,-0.78,-0.96,-0.30,-0.60,-0.79,-0.65
1963,ILLINOIS,-2.33,-2.91,-2.17,-2.10,-2.70,-3.66
1964,ILLINOIS,-3.78,-3.71,-3.67,-3.86,-3.82,-4.52
1965,ILLINOIS,-0.71,-0.75,-0.74,1.17,2.58,2.17
1966,ILLINOIS,1.68,-0.55,-1.30,-1.53,-1.27,-1.50
1967,ILLINOIS,0.36,0.35,0.94,0.86,0.83,1.79
1968,ILLINOIS,-0.39,-0.34,-0.29,-0.45,-0.19,-0.80
1969,ILLINOIS,-0.78,0.87,1.92,1.33,1.51,2.72
1970,ILLINOIS,1.71,2.31,1.95,1.91,3.41,3.65
1971,ILLINOIS,-1.46,-1.91,-1.11,-1.62,-1.66,-2.30
1972,ILLINOIS,0.07,0.08,0.22,1.04,1.69,1.79
1973,ILLINOIS,3.81,4.20,4.17,3.30,3.17,3.12
1974,ILLINOIS,3.93,4.43,3.19,3.25,2.90,2.22
1975,ILLINOIS,2.44,2.16,1.92,2.40,0.03,-0.36
1976,ILLINOIS,-0.47,-0.80,-0.85,-1.34,-1.61,-1.18
1977,ILLINOIS,-3.29,-3.13,-2.96,1.45,2.00,2.63
1978,ILLINOIS,0.47,0.05,0.46,-0.02,-0.35,-0.61
1979,ILLINOIS,1.42,0.75,1.45,1.99,-1.01,-1.32
1980,ILLINOIS,-1.78,-1.38,-1.58,0.55,0.99,-0.02
1981,ILLINOIS,1.22,1.62,2.71,3.71,3.51,3.47
1982,ILLINOIS,2.41,2.33,3.07,3.04,2.75,2.59
1983,ILLINOIS,4.09,3.61,2.46,1.29,0.64,1.11
1984,ILLINOIS,2.68,-0.73,-0.89,-1.74,0.37,0.97
1985,ILLINOIS,1.28,1.44,1.24,1.99,1.26,1.55
1986,ILLINOIS,0.70,0.57,1.30,0.94,1.95,2.81
1987,ILLINOIS,-2.25,-2.54,-2.26,-1.38,-1.76,-2.03
1988,ILLINOIS,-1.64,-2.88,-3.50,-4.13,-4.42,-4.13
1989,ILLINOIS,-2.03,-2.13,-1.90,-1.51,-0.64,-0.96
1990,ILLINOIS,2.06,2.80,2.83,2.92,2.13,2.57
1991,ILLINOIS,-0.38,-1.44,-2.17,-2.59,-2.61,-1.37
1992,ILLINOIS,-2.10,-2.75,1.50,0.99,1.54,1.00
1993,ILLINOIS,2.42,3.33,4.23,4.69,6.37,6.06
1994,ILLINOIS,-0.62,-0.65,-0.93,-0.73,-1.03,-1.39
1995,ILLINOIS,2.29,-0.21,-0.50,-0.47,-1.16,-1.11
1996,ILLINOIS,1.98,1.89,2.17,1.48,1.28,0.98
1997,ILLINOIS,-0.22,-0.23,-0.73,-0.05,-0.40,-0.75
1998,ILLINOIS,1.31,2.60,2.34,2.09,1.32,1.63
1999,ILLINOIS,1.25,1.60,-0.35,-0.51,-0.88,-1.29
2000,ILLINOIS,-0.02,1.38,1.71,1.75,1.91,1.48
2001,ILLINOIS,-0.03,0.02,0.12,0.37,0.49,1.82
2002,ILLINOIS,3.22,-0.10,-0.62,-0.42,-1.05,-0.87
2003,ILLINOIS,0.58,0.62,1.21,0.81,1.24,0.93
2004,ILLINOIS,0.79,0.47,0.74,1.66,0.57,1.30
2005,ILLINOIS,-1.82,-2.72,-2.94,-2.90,-2.87,-3.43
2006,ILLINOIS,-0.37,-0.71,0.08,0.26,0.39,0.89
2007,ILLINOIS,-1.13,-1.14,-1.18,-0.99,-1.80,-1.72
2008,ILLINOIS,2.68,2.92,3.66,2.95,4.47,4.25
2009,ILLINOIS,4.34,4.28,4.52,4.95,4.34,6.52
2010,ILLINOIS,3.28,4.24,4.49,4.00,3.82,2.89
2011,ILLINOIS,3.30,3.96,-0.13,-0.80,-0.57,-0.96
2012,ILLINOIS,-2.24,-3.06,-4.36,-4.28,-3.37,-2.62
2013,ILLINOIS,2.86,3.10,-0.02,-0.74,-1.44,-1.20
2014,ILLINOIS,0.15,1.13,1.17,1.96,2.36,3.04
2015,ILLINOIS,1.41,3.40,3.83,3.55,3.24,2.47
2016,ILLINOIS,2.06,1.35,2.47,3.71,3.50,3.07
2017,ILLINOIS,2.44,-0.36,0.42,-0.27,-1.35,-0.62
2018,ILLINOIS,0.77,1.38,1.24,1.76,2.15,2.48
2019,ILLINOIS,5.03,5.01,4.25,4.15,4.23,4.84
2020,ILLINOIS,4.40,3.68,3.91,2.96,,
1895,INDIANA,-2.75,-3.25,-3.22,-3.72,-4.04,-4.49
1896,INDIANA,-3.42,0.19,1.97,2.74,3.69,3.28
1897,INDIANA,-0.17,-0.03,-0.33,-1.07,-2.30,-3.22
1898,INDIANA,1.78,1.39,0.78,0.67,0.94,1.64
1899,INDIANA,-1.20,-1.66,-1.83,-2.24,-2.67,-2.73
1900,INDIANA,-2.86,-1.87,-1.22,-1.19,-1.65,-1.96
1901,INDIANA,-2.36,-2.10,-3.33,-3.58,-4.11,-3.81
1902,INDIANA,-3.92,1.68,1.47,0.98,1.77,1.68
1903,INDIANA,-0.62,0.15,0.09,0.47,-0.51,-0.46
1904,INDIANA,-0.30,-0.60,-0.69,-0.93,-0.67,-1.29
1905,INDIANA,0.56,0.40,0.70,1.27,1.43,2.29
1906,INDIANA,-1.43,-1.59,-1.72,0.40,0.56,0.18
1907,INDIANA,1.29,1.70,2.16,2.52,2.43,2.57
1908,INDIANA,3.73,-0.78,-1.27,-2.08,-3.15,-4.18
1909,INDIANA,1.57,1.97,2.58,2.45,2.28,2.78
1910,INDIANA,-1.75,-2.23,0.79,0.39,1.15,2.12
1911,INDIANA,-0.86,-1.08,-1.96,-2.09,0.95,1.46
1912,INDIANA,1.82,1.33,1.77,2.73,2.70,2.39
1913,INDIANA,-0.64,-1.46,-1.82,-2.05,-2.19,-1.92
1914,INDIANA,-2.48,-3.16,-4.05,-3.41,-3.48,-3.66
1915,INDIANA,0.57,0.37,1.59,3.22,3.37,2.90
1916,INDIANA,0.07,1.39,-0.77,-1.00,-1.01,-1.27
1917,INDIANA,0.94,1.61,-0.11,-0.33,-0.76,1.00
1918,INDIANA,-1.10,-1.22,-1.33,-1.57,0.75,0.71
1919,INDIANA,-0.03,-0.35,-1.28,-1.74,-2.16,1.70
1920,INDIANA,-0.14,-0.44,-0.32,-0.33,-0.58,-1.04
1921,INDIANA,-1.44,-1.91,-2.92,0.74,1.31,1.21
1922,INDIANA,-0.39,-1.32,-1.45,-2.12,-2.82,-2.91
1923,INDIANA,0.46,-0.35,-0.41,0.62,0.68,0.93
1924,INDIANA,1.19,2.12,-0.63,0.15,0.55,-1.02
1925,INDIANA,-2.99,-3.00,-2.61,-2.90,0.55,1.18
1926,INDIANA,-0.54,-0.73,-0.98,1.06,3.14,3.93
1927,INDIANA,3.97,3.61,3.08,2.88,3.16,2.78
1928,INDIANA,1.02,2.39,2.08,2.04,1.30,1.29
1929,INDIANA,2.18,2.25,2.27,1.94,1.77,2.18
1930,INDIANA,-1.92,-2.35,-3.32,-3.97,-3.69,-4.07
1931,INDIANA,-6.08,-5.74,-5.66,0.32,0.71,0.82
1932,INDIANA,-1.67,-1.53,-1.73,-1.68,1.09,1.63
1933,INDIANA,3.70,-1.45,-2.28,-2.60,-2.01,-1.96
1934,INDIANA,-4.99,-5.16,-5.82,-5.04,-3.65,-4.29
1935,INDIANA,-2.01,-1.39,-1.42,-1.41,-1.44,-1.71
1936,INDIANA,-2.61,-3.57,-4.91,-5.30,0.23,0.59
1937,INDIANA,1.54,1.68,1.51,1.38,1.39,2.20
1938,INDIANA,1.81,2.22,2.61,-0.04,-0.07,-0.86
1939,INDIANA,-1.10,-0.31,-0.20,-0.51,-1.71,-1.85
1940,INDIANA,-2.09,-2.19,-3.04,-3.42,-4.00,-4.23
1941,INDIANA,-5.52,-4.54,-4.69,-4.91,-5.15,1.17
1942,INDIANA,0.14,0.75,0.87,1.14,1.07,0.67
1943,INDIANA,1.98,-0.46,-0.28,-0.74,-0.57,-1.05
1944,INDIANA,-1.03,-2.03,-3.02,-2.86,-3.11,-3.76
1945,INDIANA,1.64,2.67,2.36,2.27,3.43,3.46
1946,INDIANA,-0.69,-0.48,-0.84,-0.68,-1.39,-1.53
1947,INDIANA,1.61,2.01,-0.03,-0.21,0.35,-0.41
1948,INDIANA,0.50,0.60,0.93,-0.59,-0.80,-0.93
1949,INDIANA,1.21,1.44,1.14,1.01,0.89,1.53
1950,INDIANA,3.92,4.23,4.02,3.89,4.63,3.89
1951,INDIANA,2.84,2.87,2.74,2.17,1.86,1.57
1952,INDIANA,2.30,2.13,-0.67,-0.93,-0.80,-1.36
1953,INDIANA,-1.31,-1.89,-1.60,-2.27,-3.04,-3.77
1954,INDIANA,-4.36,-4.51,-4.52,-3.58,-4.02,1.13
1955,INDIANA,-0.51,-0.55,-0.34,-0.90,0.29,0.96
1956,INDIANA,0.93,-0.32,-0.35,-0.59,-1.19,-2.15
1957,INDIANA,1.59,2.71,2.65,2.21,1.85,2.09
1958,INDIANA,-1.68,1.93,3.65,3.88,3.93,3.37
1959,INDIANA,-0.31,-0.97,-0.95,-1.36,-1.29,0.32
1960,INDIANA,0.22,1.12,-0.05,-0.11,-0.89,-1.25
1961,INDIANA,1.85,1.79,2.10,1.96,1.90,1.60
1962,INDIANA,-1.18,-1.46,0.81,-0.03,-0.11,-0.05
1963,INDIANA,-1.21,-1.74,-1.00,-1.03,-1.87,-3.09
1964,INDIANA,-3.01,-2.88,-2.63,-3.11,-3.38,-4.09
1965,INDIANA,-2.83,-3.01,-2.81,-2.22,-1.01,-0.75
1966,INDIANA,-1.05,-1.70,-2.13,-2.12,-1.63,-1.92
1967,INDIANA,0.47,-0.51,-0.88,-1.12,-1.56,0.57
1968,INDIANA,1.20,1.08,1.03,1.28,-0.07,-0.56
1969,INDIANA,-1.09,0.41,1.34,0.91,1.09,1.63
1970,INDIANA,0.37,0.30,0.56,0.20,0.51,0.91
1971,INDIANA,0.11,-0.20,0.68,0.38,0.93,-0.40
1972,INDIANA,-0.38,-0.42,-0.46,-0.42,1.34,1.55
1973,INDIANA,2.11,2.69,3.13,2.86,2.01,1.63
1974,INDIANA,2.35,2.37,1.08,1.69,2.25,1.78
1975,INDIANA,2.07,2.28,1.54,2.24,2.10,1.94
1976,INDIANA,-1.13,0.48,0.47,0.15,0.17,0.54
1977,INDIANA,-2.15,-1.98,-2.07,1.53,1.71,2.19
1978,INDIANA,1.22,0.76,1.24,2.09,1.15,1.16
1979,INDIANA,1.17,1.03,2.87,4.10,3.37,3.28
1980,INDIANA,1.45,1.95,1.74,2.33,2.15,2.01
1981,INDIANA,1.82,1.76,2.11,2.41,2.47,2.44
1982,INDIANA,1.73,1.89,1.70,1.81,1.56,0.97
1983,INDIANA,1.91,-0.32,-1.17,-1.97,-2.61,0.87
1984,INDIANA,1.55,-0.97,-0.91,-1.54,0.34,0.50
1985,INDIANA,-1.07,-1.02,-1.14,1.02,-0.42,0.36
1986,INDIANA,0.22,0.30,0.94,0.71,1.26,1.96
1987,INDIANA,-2.23,-1.94,-1.16,-1.08,-1.50,-1.61
1988,INDIANA,-2.00,-3.36,-3.37,-3.81,-3.82,0.13
1989,INDIANA,1.49,1.23,1.78,2.21,3.03,2.79
1990,INDIANA,2.88,2.85,3.13,3.88,3.48,4.42
1991,INDIANA,-0.62,-1.76,-2.51,-2.68,-2.94,-2.12
1992,INDIANA,-2.49,-2.52,2.05,2.04,2.77,2.56
1993,INDIANA,2.23,2.80,2.72,2.97,4.31,4.65
1994,INDIANA,-0.74,-0.72,-0.80,-0.58,-0.78,-1.38
1995,INDIANA,1.49,-0.06,-0.49,-0.40,-1.20,-1.24
1996,INDIANA,2.46,2.63,3.09,2.12,2.81,2.55
1997,INDIANA,3.11,3.49,2.84,2.98,-0.25,-0.66
1998,INDIANA,0.88,2.31,2.65,2.60,-0.91,-0.63
1999,INDIANA,-0.62,-0.60,-1.23,-1.75,-2.48,-2.84
2000,INDIANA,0.00,0.93,1.04,1.57,2.27,2.12
2001,INDIANA,-1.60,0.12,0.89,1.21,1.61,3.78
2002,INDIANA,4.28,-0.41,-1.07,-1.54,-1.45,-1.44
2003,INDIANA,0.93,0.72,2.59,2.54,3.88,3.82
2004,INDIANA,1.99,2.02,2.56,3.34,2.19,2.62
2005,INDIANA,-1.27,-1.63,-1.35,-0.78,-0.45,-1.08
2006,INDIANA,0.98,1.01,1.34,1.90,2.61,3.76
2007,INDIANA,-1.14,-1.55,-1.76,-1.49,-1.88,-1.78
2008,INDIANA,3.06,3.73,3.67,2.85,2.81,2.36
2009,INDIANA,2.40,2.39,2.69,2.84,2.62,4.28
2010,INDIANA,0.35,1.64,1.57,-0.78,-1.60,-2.40
2011,INDIANA,3.45,3.52,2.54,1.78,2.54,2.62
2012,INDIANA,-2.54,-3.53,-4.45,-0.04,0.70,1.07
2013,INDIANA,0.98,1.79,-0.11,-0.70,-0.78,0.45
2014,INDIANA,1.05,1.50,1.46,2.18,2.38,3.01
2015,INDIANA,1.52,3.43,4.23,3.69,3.02,2.58
2016,INDIANA,1.70,1.53,1.94,3.15,3.11,2.82
2017,INDIANA,2.41,2.30,3.07,2.53,1.84,2.16
2018,INDIANA,1.91,2.55,2.14,2.79,3.42,3.38
2019,INDIANA,4.89,5.31,4.63,4.28,3.27,3.42
2020,INDIANA,3.01,2.43,2.36,2.09,,
1895,IOWA,-1.10,-1.14,-1.09,-0.78,-0.98,-1.45
1896,IOWA,1.47,0.79,1.98,1.81,2.17,2.77
1897,IOWA,-0.70,-0.85,-1.10,-1.69,-2.59,-3.30
1898,IOWA,-2.46,-2.35,-2.45,-2.44,-2.67,0.64
1899,IOWA,0.93,1.04,-0.12,-0.26,-1.15,-1.53
1900,IOWA,-2.13,-2.15,1.23,1.41,1.99,2.53
1901,IOWA,-1.05,-1.39,-2.43,-3.62,-3.14,-3.17
1902,IOWA,0.41,1.66,3.72,4.86,5.24,4.97
1903,IOWA,4.67,3.81,4.16,5.03,5.05,4.67
1904,IOWA,-0.07,-0.43,0.43,0.43,-0.18,-0.40
1905,IOWA,1.37,1.40,1.25,1.20,1.09,1.60
1906,IOWA,-0.50,-0.66,-0.63,-0.60,0.10,0.03
1907,IOWA,0.28,0.71,2.18,2.45,2.30,2.06
1908,IOWA,2.78,3.02,2.82,3.09,1.95,2.25
1909,IOWA,2.91,3.36,3.60,2.47,2.28,2.06
1910,IOWA,-2.19,-3.00,-3.73,-3.56,-3.36,-3.94
1911,IOWA,-3.97,-4.96,-5.34,-5.23,0.19,0.72
1912,IOWA,-0.50,-1.03,-1.00,-0.92,-0.65,-0.20
1913,IOWA,1.60,-0.60,-1.45,-2.19,-2.34,-1.90
1914,IOWA,-2.57,-1.98,-2.40,-2.97,1.29,1.62
1915,IOWA,2.29,2.13,4.05,3.71,4.56,3.86
1916,IOWA,0.41,-0.06,-1.05,-1.71,-1.61,-1.59
1917,IOWA,1.13,2.03,-0.50,-0.95,-1.15,-1.19
1918,IOWA,0.94,1.06,0.92,0.64,0.15,0.57
1919,IOWA,1.78,2.02,1.35,0.72,1.07,1.47
1920,IOWA,-0.16,-0.67,-0.41,-0.41,-0.57,-0.82
1921,IOWA,-0.64,-1.20,-1.78,0.28,1.19,-0.08
1922,IOWA,-0.31,-1.53,1.04,-0.45,-1.15,-1.56
1923,IOWA,-1.44,-1.22,-1.95,0.59,1.43,-0.13
1924,IOWA,-1.22,1.54,1.67,2.35,2.39,-0.58
1925,IOWA,-2.40,0.68,-0.38,-0.56,0.32,1.01
1926,IOWA,-1.60,0.03,0.03,-0.13,2.27,2.05
1927,IOWA,2.64,-0.75,-1.42,-1.84,-1.53,-1.16
1928,IOWA,-1.75,0.61,0.92,1.96,2.01,2.63
1929,IOWA,-0.45,-0.96,-0.72,-1.22,-1.06,-0.67
1930,IOWA,-0.01,0.52,-1.00,-1.76,-2.32,-2.36
1931,IOWA,-3.78,-4.16,-4.52,-4.63,0.64,0.70
1932,IOWA,1.65,1.61,1.19,2.26,1.81,1.63
1933,IOWA,-0.48,-2.09,-2.36,-2.68,-2.68,-2.95
1934,IOWA,-7.13,-7.49,-7.49,-7.66,-6.66,-6.66
1935,IOWA,0.59,1.74,1.24,0.48,0.19,0.29
1936,IOWA,-1.70,-2.24,-4.08,-4.67,-3.54,-3.51
1937,IOWA,-1.47,-1.59,-1.95,-2.03,-2.80,-2.72
1938,IOWA,0.99,0.93,1.18,0.89,1.64,0.78
1939,IOWA,-1.40,-1.25,-1.52,-1.12,-2.33,-2.70
1940,IOWA,-4.11,-4.14,-3.58,-2.18,-2.87,-2.82
1941,IOWA,-1.99,-1.15,-1.62,-2.37,1.19,2.70
1942,IOWA,1.36,1.78,2.28,2.00,2.26,1.87
1943,IOWA,1.57,1.92,2.12,2.48,2.11,1.77
1944,IOWA,2.93,3.02,2.88,3.49,2.92,2.16
1945,IOWA,3.41,3.42,2.95,2.47,2.54,1.55
1946,IOWA,1.06,1.66,1.08,1.02,1.54,1.88
1947,IOWA,2.42,4.56,-0.71,-2.02,-2.79,-2.53
1948,IOWA,-1.99,-2.13,-1.74,-2.17,-2.80,-2.82
1949,IOWA,-1.26,-0.89,-0.93,-1.54,-1.47,-1.67
1950,IOWA,0.78,1.28,1.76,-0.19,-0.52,-1.08
1951,IOWA,3.08,3.69,3.85,4.68,4.31,4.59
1952,IOWA,2.86,2.69,2.51,2.78,-0.88,-1.62
1953,IOWA,-0.57,-0.40,-0.49,-1.14,-2.19,-3.21
1954,IOWA,0.57,1.11,0.15,1.35,0.80,1.61
1955,IOWA,-0.95,-1.34,-1.66,-2.70,-3.02,-3.37
1956,IOWA,-6.30,-6.84,-6.18,-5.65,-6.08,-6.41
1957,IOWA,0.44,0.55,0.39,0.33,0.12,0.43
1958,IOWA,-1.64,-1.57,1.60,-0.34,-0.37,-0.95
1959,IOWA,2.22,1.71,1.10,1.15,1.30,1.68
1960,IOWA,3.06,2.78,2.27,2.64,2.44,2.24
1961,IOWA,1.39,0.80,1.53,1.15,2.56,2.85
